Gesamtflächenübersicht,,,,,,,,,,
Fläche,Feldfrucht,Vorfrucht,Zyklus,Kalk,Dünger,Pflügen,Walzen,Wachstum,Größe
190,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,"3,00 HA"
191,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,"1,76 HA"
192,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,"1,52 HA"
193,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,"1,97 HA"
213,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,"1,49 HA"
216,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,"4,01 HA"
215,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,"2,83 HA"
214,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,"1,44 HA"
227,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,"1,28 HA"
95,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,"5,36 HA"
96,GRAS,GRAS,/,NEIN,NEIN,JA,NEIN,GEERNTET,"3,31 HA"
97,GRAS,GRAS,/,NEIN,NEIN,JA,NEIN,GEERNTET,"3,09 HA"
98,GRAS,GRAS,/,JA,JA,JA,NEIN,GESÄHT,"5,85 HA"
99,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,"2,42 HA"
111,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,"5,65 HA"
116,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,"4,52 HA"
117,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,"1,42 HA"
115,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,"4,77 HA"
83,GRAS,GRAS,/,NEIN,NEIN,JA,NEIN,GEERNTET,"3,98 HA"
18,GRAS,GRAS,/,NEIN,NEIN,JA,NEIN,GEERNTET,"8,93 HA"
145,GRAS,GRAS,/,NEIN,NEIN,JA,NEIN,GEERNTET,"2,41 HA"
164,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,"3,82 HA"
49,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,"6,43 HA"
46,GRAS,GRAS,/,NEIN,NEIN,JA,NEIN,REIF,"1,81 HA"
139,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,"3,25 HA"
112,GRAS,GRAS,/,JA,JA,JA,NEIN,GESÄHT,"6,29 HA"
113,GRAS,GRAS,/,JA,JA,JA,NEIN,GESÄHT,"6,32 HA"
114,GRAS,GRAS,/,JA,JA,JA,NEIN,GESÄHT,"3,55 HA"
1,LEER,WEIZEN,H1.1,NEIN,NEIN,NEIN,NEIN,SCHWARZ,"37,41 HA"
229,WEIZEN,WEIZEN,H1.1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"12,56 HA"
32,RAPS,RAPS,B1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"10,34 HA"
31,HAFER,HAFER,H2.1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"14,62 HA"
30,SOJA,SOJA,B1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"5,29 HA"
45,RAPS,RAPS,B1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"9,31 HA"
44,GERSTE,GERSTE,H1.1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"16,72 HA"
50,LEER,SONNENBLUMEN,Z,NEIN,NEIN,NEIN,NEIN,SCHWARZ,"4,47 HA"
51,LEER,SONNENBLUMEN,Z,NEIN,NEIN,NEIN,NEIN,SCHWARZ,"2,25 HA"
53,GERSTE,GERSTE,H1.1,NEIN,NEIN,NEIN,NEIN,WACHSEND,"9,83 HA"
52,LEER,GERSTE,H1.1,NEIN,NEIN,NEIN,NEIN,SCHWARZ,"3,19 HA"
55,LEER,GERSTE,H1.1,NEIN,NEIN,NEIN,NEIN,SCHWARZ,"6,03 HA"
